masked,cluster
/product/<NUM>/<NUM>/یخچال-فریزر-سینجر-مدل-pearl-SR<NUM>,0
/product/<NUM>/<NUM>/سشوار-خانگی-پرنسلی-مدل-PR<NUM>AT,0
/m/product/<NUM>/<NUM>/گوشی-موبایل-سامسونگ-مدل-Galaxy-A<NUM>-(<NUM>)-Dual-<NUM>GB-(SM-A<NUM>),0
/m/product/<NUM>/<NUM>/ماشین-اصلاح-صورت-پرنسلی-مدل-PR<NUM>AT,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-ME<NUM>,0
/product/<NUM>/<NUM>/عطر-و-ادکلن-زنانه-دیور-مدل-Poison-Girl,0
/product/<NUM>/<NUM>/مایکروفر-رومیزی-سامسونگ-مدل-CE<NUM>,0
/image/<NUM>?name=rs<NUM>w.jpg&wh=<NUM>x<NUM>,1
/image/<NUM>?name=des-<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,1
"/m/filter/b<NUM>,p<NUM>?page=<NUM>",1
/image/<NUM>?name=pr<NUM>at<NUM>.jpg&wh=max,1
"/ajaxFilter/p<NUM>,b<NUM>?page=<NUM>",1
/image/<NUM>?name=model-b<NUM>u-<NUM>-.jpg&wh=<NUM>x<NUM>,1
/image/<NUM>?name=pr<NUM>at.jpg&wh=max,1
/image/<NUM>?name=<NUM>thumb.jpg&wh=<NUM>x<NUM>,1
/static/css/font/wyekan/font.woff,1
/image/<NUM>/productType/<NUM>x<NUM>,1
/image/<NUM>?name=eb-x<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,1
/image/<NUM>?name=ms<NUM>-<NUM>.jpg&wh=<NUM>x<NUM>,1
/image/<NUM>/productModel/<NUM>x<NUM>,1
/static/images/guarantees/fastDelivery.png,2
/static/images/guarantees/goodShopping.png,2
/static/images/guarantees/warranty.png,2
/static/images/guarantees/bestPrice.png,2
/static/images/guarantees/support.png,2
/settings/logo,2
/,3
/static/js/accordion.js?_=<NUM>,4
/static/images/amp/instagram.png,4
/static/images/amp/third-party/footer-mobile.png,4
/static/images/amp/telegram.png,4
/static/images/amp/blog.png,4
/m/updateVariation?__amp_source_origin=https://www.zanbil.ir,5
/product/<NUM>?model=<NUM>,6
/amp_preconnect_polyfill_<NUM>_or_other_error_expected._Do_not_worry_about_it?<NUM>,7
